swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw04utt/sw_0426_3409.utt,3/sw3409,3409,0,qw,Info-request:Wh-Question,,,B,1,1,"So how many, um, credit cards do you have ?","(ROOT (ADJP (RB so) (WHADJP (WRB how) (JJ many)) (, ,) (ADJP (NP (NN um))) (, ,) (SBARQ (NP (NN credit) (NNS cards)) (SQ (VBP do) (NP (PRP you)) (VP (VB have))) (. ?))))",CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,1,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,2,1,"Um, I think I'm down to one.","(ROOT (NP (NP (NP (NN um)) (, ,) (NP (FW i)) (S (VP (VBP think) (SBAR (S (FW i) (VP (VBP 'm) (ADVP (RP down) (PP (TO to) (NP (CD one)))))))))) (. .)))",CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,4,qy,Info-request:Yes-No-Question,,,B,3,3,Is that why you said I had more experience than you ?,(ROOT (FRAG (VBZ is) (IN that) (SBAR (WHADVP (WRB why)) (S (NP (PRP you)) (VP (VBD said) (SBAR (S (NP (FW i)) (VP (VBD had) (NP (NP (RBR more) (NN experience)) (PP (IN than) (NP (PRP you)))))))))) (. ?))),CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,6,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,4,2,I was pulling your leg.,(ROOT (S (VP (LS i) (S (VP (VBD was) (VP (VBG pulling) (NP (PRP$ your) (NN leg)))))) (. .))),CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,10,%,Communicative-Status:Uninterpretable,,,B,5,4,or.,(ROOT (QP (CC or) (. .))),CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,6,2,"the way I'd like to try and use it is, um, you, you, you make your purchases at, at prime buying time","(ROOT (S (NP (DT the) (NN way)) (VP (FW i) (VP (MD 'd) (VP (VB like) (S (VP (TO to) (VP (VB try) (CC and) (VB use) (SBAR (S (NP (PRP it)) (VP (VBZ is) (, ,) (SBAR (S (NP (NN um)) (, ,) (NP (PRP you)) (, ,) (NP (PRP you)) (, ,) (NP (PRP you)) (VP (VBP make) (NP (PRP$ your) (NNS purchases)) (FRAG (IN at) (, ,) (PP (IN at) (NP (JJ prime) (NN buying) (NN time))))))))))))))))))",CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,13,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,8,1,"and then you pay that off and don't use it until, uh, it's paid off.","(ROOT (FRAG (CC and) (RB then) (NP (PRP you)) (SBAR (VBP pay) (IN that) (ADVP (RB off) (CC and) (VP (VBP do) (RB n't) (VP (VB use) (NP (PRP it)) (SBAR (S (IN until) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBZ 's) (VP (VBN paid) (PRT (RP off)))) (. .)))))))))",CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
sw04utt/sw_0426_3409.utt,3/sw3409,3409,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,10,1,"That's, that's my ideal way.","(ROOT (S (S (NP (DT that)) (VP (VBZ 's))) (, ,) (S (NP (DT that)) (VP (VBZ 's) (NP (PRP$ my) (JJ ideal) (NN way)))) (. .)))",CREDIT_CARD_USE,PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?
